text,label
"Attention:

Your account will be permanently closed within 24 hours on your Bank of America account. Update your billing information now to avoid service interruption.

Click here to verify: http://192.168.44.12/bankofamerica/reset

Please act now to prevent unauthorized access to your account. This is an automated security message from the Bank of America team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Customer,

Your subscription has expired on your DHL account. Failure to verify will result in permanent suspension of your account.

Click here to verify: http://secure-dhl-verify.com/login

Please act now to prevent unauthorized access to your account. This is an automated security message from the DHL team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hello,

Security alert: verify your identity now on your Instagram account. Please confirm your password and card details immediately to avoid closure.

Click here to verify: http://secure-instagram-verify.com/login

Please act now to prevent unauthorized access to your account. This is an automated security message from the Instagram team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Valued User,

Immediate action required on your DHL account. Update your billing information now to avoid service interruption.

Click here to verify: http://192.168.44.12/dhl/reset

Please act now to prevent unauthorized access to your account. This is an automated security message from the DHL team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Karthik,

Attaching the notes from today's class on machine learning. Assignment 3 is due next Thursday. Reach out during office hours if you need help.

Best,
Divya",0
"Hi Priya,

Just a reminder that our team meeting is scheduled for Friday at 4:00 PM. Please review the attached agenda before then and let me know if you have questions.

Thanks,
Anjali",0
"Attention:

You have won a prize on your Facebook account. Verify now to claim your reward before it expires.

Click here to verify: http://facebook.account-update.info/confirm

Please act now to prevent unauthorized access to your account. This is an automated security message from the Facebook team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Valued User,

You have won a prize on your SBI Bank account. Update your billing information now to avoid service interruption.

Click here to verify: http://sbibank.com-verify-account.ru/signin

Please act now to prevent unauthorized access to your account. This is an automated security message from the SBI Bank team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Karthik,

Congrats on finishing the project milestone! Let's sync up Thursday to plan next steps. I've shared the doc in our shared drive.

Best,
Meera",0
"Dear Valued User,

You have won a prize on your Amazon account. Verify now to claim your reward before it expires.

Click here to verify: http://amazon.account-update.info/confirm

Please act now to prevent unauthorized access to your account. This is an automated security message from the Amazon team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hello,

Immediate action required on your Amazon account. Please confirm your password and card details immediately to avoid closure.

Click here to verify: http://192.168.44.12/amazon/reset

Please act now to prevent unauthorized access to your account. This is an automated security message from the Amazon team.

If you do not respond within 24 hours your account access will be revoked.",1
